Code,Basin,Short Name,Recoveries,,
2FS99SWVIH0104,SWVI,H-ROBERTSON CR,59453,,
2MS13P020 000,SWVI,JFN P020-000,25439,,
2MS13P020 093,SWVI,JFN P020-093,12683,,
2MS13P020 104,SWVI,JFN P020-104,6210,,
2MS13P020 174,SWVI,JFN P020-174,364,,
2MS13P020 175,SWVI,JFN P020-175,107,,
2MS13P020 513,SWVI,JFN P020-513,58,,
2MS13P020 514,SWVI,JFN P020-514,99,,
2MS13P020 515,SWVI,JFN P020-515,37,,
2MS13P020 649,SWVI,JFN P020-649,98,,
2MS24P020ALDR PT 05,SWVI,JFSPT ALDR PT (20-5),275,,
2MS24M19BALDR PT,SWVI,JFSPT ALDR PT (M19B),1,,
2MS24P020BECH BY 05,SWVI,JFSPT BECH BY (20-5),1128,,
2MS24M19BBECH BY,SWVI,JFSPT BECH BY (M19B),5,,
2MS24P020BEDF IS 05,SWVI,JFSPT BEDF IS (20-5),269,,
2MS24P020BEEC HD 05,SWVI,JFSPT BEEC HD (20-5),2901,,
2MS24P020BENT IS 05,SWVI,JFSPT BENT IS (20-5),12,,
